# Collocations

# Corpus: nature_full
# Query:  word,[lc="nitrogen"|lemma_lc="nitrogen"] 14527

	Freq	T-score	MI	logDice	
noble	8	2.780	5.872	4.125	
experiment	8	1.988	1.751	3.500	
complex	8	1.216	0.811	3.074	
unit	8	2.490	3.062	3.863	
back	8	2.526	3.224	3.893	
elemental	8	2.698	4.444	4.046	
Proc	8	1.477	1.066	3.205	
subsequent	8	2.414	2.772	3.802	
boron	8	2.786	6.065	4.131	
adding	8	2.657	4.046	4.008	
pageAbstract	8	2.693	4.387	4.042	
mainly	8	2.472	2.989	3.849	
air	8	2.201	2.173	3.643	
coastal	8	2.284	2.378	3.703	
throughout	8	2.386	2.678	3.780	
tracing	8	2.795	6.391	4.139	
When	8	2.291	2.395	3.708	
those	8	1.114	0.723	3.026	
Impact	8	2.733	4.886	4.079	
contribute	8	2.416	2.779	3.804	
contribution	8	2.415	2.774	3.803	
NtcA	7	2.637	8.161	3.972	
heterotrophic	7	2.421	3.555	3.780	
drying	7	2.551	4.809	3.893	
contrasting	7	2.572	5.165	3.912	
thus	7	1.631	1.382	3.239	
pattern	7	1.891	1.809	3.396	
Sea	7	1.728	1.528	3.295	
pH	7	1.081	0.758	2.954	
often	7	1.913	1.853	3.410	
15N-labelled	7	2.638	8.389	3.973	
Yeast	7	2.596	5.736	3.934	
mineralized	7	2.618	6.582	3.955	
mean	7	0.608	0.377	2.748	
ground	7	2.441	3.695	3.798	
calculated	7	1.424	1.114	3.125	
functionalities	7	2.626	7.060	3.962	
mixing	7	2.216	2.621	3.619	
needs	7	2.470	3.915	3.822	
significant	7	0.800	0.519	2.828	
altering	7	2.573	5.180	3.913	
tropospheric	7	2.563	5.002	3.904	
low-level	7	2.624	6.936	3.960	
since	7	2.150	2.417	3.571	
shows	7	1.260	0.933	3.041	
biogeochemistry	7	2.585	5.440	3.924	
surface	7	-1.317	-0.583	2.122	
drives	7	2.558	4.909	3.899	
capital	7	2.611	6.240	3.948	
relations	7	2.596	5.721	3.934	
alters	7	2.560	4.954	3.901	
altered	7	2.381	3.320	3.748	
Progressive	7	2.640	8.754	3.975	
NO3	7	2.460	3.831	3.813	
cessation	7	2.622	6.779	3.958	
any	7	1.465	1.164	3.147	
removing	7	2.546	4.729	3.888	
fertilized	7	2.606	6.056	3.943	
bedrock	7	2.589	5.555	3.928	
Diffraction	7	2.633	7.754	3.969	
aquatic	7	2.377	3.297	3.744	
converts	7	2.609	6.182	3.946	
Leptospirillum	7	2.613	6.320	3.950	
activities	7	2.125	2.346	3.553	
fuel	7	2.342	3.122	3.716	
taken	7	2.024	2.089	3.483	
soluble	7	2.455	3.791	3.809	
