# Collocations

# Corpus: nature_full
# Query:  word,[lc="carbon"|lemma_lc="carbon"] 38866

	Freq	T-score	MI	logDice	
which	177	8.201	1.382	5.466	
light	73	7.206	2.675	5.458	
measurements	67	7.162	2.999	5.449	
when	82	7.207	2.292	5.446	
sequester	52	7.188	8.290	5.446	
have	163	7.947	1.405	5.445	
;	241	8.776	1.202	5.444	
higher	76	7.171	2.494	5.444	
without	67	7.140	2.969	5.442	
transfer	64	7.124	3.191	5.437	
carbonate	56	7.128	4.395	5.433	
deposition	56	7.073	4.189	5.414	
sedimentary	53	7.087	5.235	5.412	
produced	63	7.040	3.146	5.410	
ratio	65	7.014	2.944	5.402	
paper	59	7.022	3.543	5.401	
models	71	6.973	2.535	5.389	
gain	52	7.013	5.187	5.384	
surface	98	7.066	1.805	5.382	
Terrestrial	50	7.016	7.017	5.378	
emitted	50	6.994	6.511	5.370	
Black	51	6.979	5.456	5.369	
matrix	55	6.935	3.947	5.365	
phosphorus	52	6.946	4.764	5.361	
layer	61	6.879	3.068	5.357	
different	99	6.956	1.733	5.353	
Information	62	6.791	2.862	5.331	
Pathways	48	6.897	7.815	5.328	
?	62	6.755	2.815	5.320	
R.	126	6.989	1.406	5.317	
change	79	6.717	2.033	5.313	
coated	49	6.830	5.366	5.310	
regional	52	6.786	4.083	5.307	
multiwalled	47	6.850	10.210	5.306	
Nanotube	47	6.847	9.607	5.305	
limitation	50	6.800	4.704	5.304	
potential	68	6.679	2.396	5.303	
how	61	6.699	2.813	5.302	
less	62	6.689	2.732	5.300	
growth	85	6.652	1.844	5.292	
number	77	6.600	2.012	5.282	
buried	47	6.779	6.477	5.282	
View	87	6.610	1.779	5.281	
'	108	6.642	1.471	5.267	
electrodes	48	6.702	4.938	5.262	
model	87	6.528	1.736	5.260	
CO2	73	6.515	2.074	5.259	
acquisition	48	6.647	4.623	5.244	
gigatonnes	45	6.696	9.107	5.242	
reservoirs	46	6.640	5.576	5.229	
coating	46	6.622	5.399	5.223	
cost	47	6.578	4.625	5.215	
solubility	45	6.605	6.016	5.211	
continental	48	6.534	4.136	5.207	
plant	61	6.349	2.418	5.200	
coupled	49	6.488	3.773	5.198	
aligned	46	6.538	4.797	5.196	
Nature	95	6.270	1.487	5.195	
removal	47	6.498	4.261	5.190	
external	74	6.203	1.842	5.179	
nanoparticles@graphitized	43	6.553	10.410	5.178	
material	51	6.385	3.238	5.176	
processes	58	6.291	2.524	5.176	
unburned	43	6.543	8.825	5.175	
enhanced	49	6.412	3.574	5.174	
al.	204	6.750	0.923	5.173	
nitride	43	6.534	8.143	5.172	
values	65	6.218	2.128	5.172	
dots	45	6.484	4.904	5.172	
lost	45	6.471	4.823	5.167	
various	52	6.323	3.021	5.162	
credits	42	6.468	8.995	5.142	
an	154	6.219	1.003	5.137	
nanomaterials	42	6.435	7.151	5.131	
%	134	6.045	1.066	5.123	
excess	44	6.357	4.584	5.123	
associated	61	6.036	2.138	5.114	
mechanisms	52	6.150	2.765	5.112	
affect	47	6.242	3.483	5.110	
`	73	5.920	1.703	5.108	
distribution	58	6.044	2.277	5.107	
being	50	6.162	2.960	5.105	
iron	50	6.158	2.952	5.104	
density	54	6.085	2.541	5.103	
photosynthesis	44	6.284	4.246	5.101	
Ocean	52	6.102	2.701	5.098	
bulk	44	6.254	4.128	5.091	
record	47	6.155	3.290	5.084	
future	49	6.094	2.951	5.079	
converted	42	6.250	4.811	5.072	
feedstock	40	6.299	7.970	5.068	
elemental	41	6.250	5.381	5.063	
negative	47	6.079	3.143	5.062	
Co3O4	40	6.261	6.647	5.056	
where	60	5.818	2.006	5.054	
oxide	44	6.118	3.687	5.050	
phytoplankton	44	6.113	3.672	5.049	
variability	49	5.985	2.786	5.048	
chain	44	6.107	3.656	5.047	
estimate	45	6.074	3.403	5.045	
involved	50	5.942	2.647	5.042	
large	60	5.756	1.961	5.038	
window	66	5.673	1.729	5.035	
this	153	5.578	0.865	5.033	
film	42	6.106	4.112	5.028	
stores	39	6.209	7.457	5.028	
footprint	39	6.199	7.084	5.025	
because	57	5.728	2.051	5.020	
climate	68	5.581	1.630	5.018	
only	71	5.552	1.552	5.018	
composite	41	6.103	4.413	5.017	
but	84	5.461	1.307	5.016	
species	83	5.462	1.320	5.015	
system	62	5.633	1.813	5.014	
mass	52	5.782	2.335	5.010	
respiration	42	6.039	3.874	5.008	
cycle-climate	38	6.160	10.336	5.000	
single-wall	38	6.159	10.265	5.000	
flows	39	6.074	5.188	4.986	
H.	75	5.358	1.391	4.982	
fossil	40	6.020	4.375	4.981	
arrays	39	6.057	5.058	4.981	
degradation	44	5.871	3.122	4.978	
fluorescent	41	5.904	3.683	4.958	
reducing	40	5.940	4.041	4.958	
nanoporous	37	6.040	7.152	4.950	
one	64	5.321	1.579	4.946	
after	65	5.307	1.549	4.946	
forests	40	5.892	3.871	4.944	
analysis	82	5.120	1.202	4.943	
residual	38	5.955	4.876	4.938	
enrichment	40	5.855	3.751	4.933	
towards	41	5.816	3.447	4.933	
feedback	39	5.877	4.086	4.928	
glucose	43	5.710	2.952	4.924	
multi-walled	36	5.993	9.697	4.922	
influence	43	5.668	2.882	4.912	
cellular	44	5.616	2.705	4.907	
carbon	68	5.069	1.376	4.902	
spheres	36	5.914	6.129	4.898	
effects	53	5.287	1.869	4.889	
peapoded	35	5.911	10.113	4.881	
composites	36	5.856	5.383	4.881	
feedstocks	35	5.898	8.369	4.878	
nanofibers	35	5.895	8.130	4.877	
respired	35	5.895	8.121	4.877	
single	48	5.350	2.134	4.871	
conversion	38	5.721	3.796	4.870	
M.	115	4.543	0.795	4.868	
estimated	42	5.538	2.781	4.866	
preferred	35	5.813	5.849	4.853	
major	44	5.393	2.419	4.848	
present	50	5.173	1.898	4.842	
soils	40	5.521	2.976	4.839	
Capture	34	5.816	8.639	4.837	
13C-depleted	34	5.815	8.497	4.836	
effect	49	5.149	1.919	4.829	
if	44	5.318	2.334	4.829	
not	104	4.352	0.803	4.828	
graphene	39	5.518	3.103	4.826	
be	138	4.203	0.639	4.826	
equivalent	36	5.644	4.076	4.820	
A.	104	4.297	0.789	4.819	
onto	37	5.534	3.469	4.804	
D.	79	4.432	0.996	4.803	
gas	41	5.336	2.585	4.802	
starvation	34	5.675	5.220	4.796	
while	40	5.337	2.679	4.790	
photosynthetically	33	5.710	7.372	4.788	
skeleton	33	5.680	6.474	4.780	
were	198	3.757	0.448	4.779	
yield	37	5.415	3.187	4.771	
fiber	33	5.636	5.719	4.767	
nanostructures	33	5.626	5.599	4.764	
silicon	34	5.552	4.384	4.761	
temperature	59	4.571	1.304	4.760	
rising	33	5.586	5.180	4.753	
Single-Walled	32	5.652	10.322	4.753	
records	36	5.394	3.307	4.751	
remove	34	5.514	4.202	4.751	
following	40	5.139	2.415	4.739	
network	37	5.272	2.907	4.733	
added	38	5.211	2.692	4.732	
incorporation	33	5.473	4.402	4.721	
Ecosystem	32	5.540	5.599	4.721	
simple	35	5.339	3.357	4.720	
J.	154	3.352	0.454	4.718	
containing	41	4.961	2.150	4.707	
graphitized	31	5.562	9.905	4.706	
chemistry	34	5.332	3.548	4.701	
response	48	4.630	1.592	4.700	
F.	50	4.525	1.474	4.693	
coastal	35	5.220	3.088	4.689	
management	33	5.340	3.828	4.685	
analyses	41	4.861	2.054	4.683	
decrease	36	5.134	2.792	4.683	
)	980	2.631	0.127	4.672	
offset	31	5.434	5.377	4.671	
processing	33	5.271	3.602	4.667	
framework	32	5.342	4.167	4.667	
A	86	3.558	0.698	4.666	
S.	84	3.567	0.711	4.663	
Nitrogen	31	5.399	5.044	4.661	
G.	58	4.078	1.106	4.653	
deposited	32	5.287	3.935	4.652	
should	39	4.829	2.141	4.650	
Inorganic	30	5.439	7.167	4.650	
formation	43	4.617	1.757	4.649	
controls	34	5.131	3.058	4.649	
used	68	3.786	0.887	4.648	
also	74	3.648	0.796	4.646	
blue	38	4.856	2.236	4.643	
natural	40	4.736	1.993	4.641	
form	39	4.782	2.094	4.639	
no	48	4.297	1.396	4.627	
ordered	30	5.342	5.341	4.624	
most	51	4.164	1.262	4.624	
out	40	4.659	1.925	4.623	
signatures	30	5.313	5.064	4.616	
biodiversity	32	5.136	3.440	4.612	
Carbon	31	5.195	3.902	4.607	
aromatic	30	5.276	4.765	4.606	
doped	29	5.335	6.740	4.598	
absorb	29	5.328	6.567	4.596	
isotopically	29	5.324	6.467	4.595	
any	37	4.709	2.146	4.593	
pathway	37	4.692	2.129	4.589	
particles	34	4.885	2.624	4.587	
Pg	29	5.288	5.790	4.586	
implications	32	5.029	3.171	4.585	
anaerobic	32	5.025	3.162	4.584	
modelling	31	5.102	3.580	4.583	
g	37	4.608	2.045	4.569	
petagrams	28	5.285	9.663	4.559	
Sequestration	28	5.283	9.359	4.559	
measured	39	4.416	1.772	4.554	
assimilated	28	5.252	7.078	4.551	
productivity	31	4.972	3.224	4.549	
49	30	5.054	3.695	4.548	
discrimination	28	5.220	6.217	4.542	
since	31	4.938	3.144	4.541	
data	72	3.028	0.637	4.534	
important	40	4.260	1.615	4.533	
45	31	4.888	3.034	4.528	
two	57	3.431	0.874	4.524	
new	42	4.070	1.427	4.517	
understanding	32	4.737	2.621	4.512	
C.	67	3.008	0.661	4.508	
determined	36	4.393	1.901	4.504	
might	37	4.316	1.784	4.503	
belowground	27	5.159	7.142	4.499	
resulting	33	4.598	2.325	4.499	
aboveground	27	5.129	6.273	4.491	
exported	27	5.121	6.118	4.489	
neutral	28	5.010	4.231	4.488	
these	67	2.844	0.616	4.481	
conductive	27	5.082	5.505	4.479	
structure	43	3.809	1.254	4.474	
L.	54	3.265	0.848	4.473	
nanoparticle	27	5.056	5.208	4.472	
recycling	27	5.051	5.162	4.471	
evidence	35	4.287	1.861	4.464	
does	32	4.525	2.321	4.462	
calculated	34	4.348	1.975	4.460	
highly	34	4.345	1.972	4.459	
incorporated	27	4.999	4.717	4.458	
average	36	4.183	1.724	4.457	
